dataset,auc_roc,n_valid,n_anomaly,best_channel
115_PSM_id_1_Facility_tr_50000_1st_129872,0.692311,167432,24381,15
129_OPPORTUNITY_id_1_HumanActivity_tr_1801_1st_1901,0.916515,22700,629,209
130_OPPORTUNITY_id_2_HumanActivity_tr_1045_1st_1145,0.925949,3925,377,170
131_OPPORTUNITY_id_3_HumanActivity_tr_7016_1st_26691,0.987855,20858,330,210
132_OPPORTUNITY_id_4_HumanActivity_tr_895_1st_995,0.974910,8236,346,210
133_OPPORTUNITY_id_5_HumanActivity_tr_1745_1st_6500,1.000000,5043,480,72
134_OPPORTUNITY_id_6_HumanActivity_tr_1477_1st_1577,0.992372,14846,263,241
135_OPPORTUNITY_id_7_HumanActivity_tr_2085_1st_2185,0.980134,19429,726,232
136_OPPORTUNITY_id_8_HumanActivity_tr_1495_1st_1595,0.971454,25282,533,210
137_CreditCard_id_1_Finance_tr_500_1st_541,0.656047,284115,490,11
138_CATSv2_id_1_Sensor_tr_16568_1st_16668,0.668284,83240,1908,3
139_CATSv2_id_2_Sensor_tr_5592_1st_5692,0.696461,189216,6508,11
140_CATSv2_id_3_Sensor_tr_28307_1st_28407,0.655457,371501,27908,16
141_CATSv2_id_4_Sensor_tr_41727_1st_41827,0.761560,153081,5808,10
142_CATSv2_id_5_Sensor_tr_30704_1st_30804,0.614475,319104,17008,16
143_CATSv2_id_6_Sensor_tr_50000_1st_60232,0.667181,149808,4000,11
144_SMAP_id_1_Sensor_tr_2052_1st_5300,0.972538,5965,1121,0
145_SMAP_id_2_Sensor_tr_2133_1st_5400,0.834476,6207,623,23
146_SMAP_id_3_Sensor_tr_2128_1st_5000,0.934028,6194,295,4
147_SMAP_id_4_Sensor_tr_2160_1st_6449,0.307676,6288,121,19
148_SMAP_id_5_Sensor_tr_2011_1st_5060,0.840931,5841,71,0
149_SMAP_id_6_Sensor_tr_2128_1st_5000,0.645383,6192,583,4
150_SMAP_id_7_Sensor_tr_2077_1st_5394,0.971530,6041,281,15
151_SMAP_id_8_Sensor_tr_1971_1st_4870,0.414392,5721,81,6
152_SMAP_id_9_Sensor_tr_2073_1st_5600,0.981582,6029,321,24
